codigo_modular;nombre_institucion;departamento;provincia;distrito;ruralidad;latitud;longitud;tipo_servicio_basico;descripcion_servicio_basico;CONSUMO;DEUDA;VALOR_TOTAL;INDICADOR_PAGO;DESCRIPCION_INDICADOR_PAGO;fecha_corte;registro_servicio_basico;carencia_confirmada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE ENERGIA ELECTRICA  NIVEL INICIAL CONSUMO DICIEMBRE 2020;4.00;0.00;9.00;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL PRIMARIA CONSUMO ENERO 2021;0.00;0.00;8.50;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO ENERGIA ELECTRICA NIVEL INICIAL CONSUMO FEBRERO 2021;5.00;0.00;10.50;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE LUZ NIVEL INICIAL CONSUMO MARZO 2021;3.00;0.00;8.50;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO ABRIL 2021;0.00;0.00;6.00;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;servicio de energia electrica nivel inicial consumo mayo 2021;0.00;0.00;6.00;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO JUNIO 2021;9.00;0.00;12.00;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO JULIO 2021;0.00;0.00;5.00;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO AGOSTO 2021;0.00;0.00;4.50;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE LUZ DE INICIAL CONSUMO SETIEMBRE 2021;0.00;0.00;4.50;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO AGOSTO 2021;110.00;0.00;110.50;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE LUZ DE INICIAL CONSUMO SETIEMBRE 2021;0.00;0.00;6.50;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO NOVIEMBRE 2021;2.00;0.00;9.00;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE LUZ NIVEL INICIAL CONSUMO OCTUBRE 2021;0.00;0.00;5.00;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE LUZ NIVEL INICIAL CONSUMO DICIEMBRE 2021;0.00;0.00;5.00;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE LUZ NIVEL INICIAL CONSUMO ENERO 2022;0.00;0.00;5.00;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO FEBRERO 2022;0.00;0.00;4.50;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO MARZO 2022;0.00;0.00;5.00;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO ABRL 2022;1.00;0.00;6.00;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONUSMO MAYO 2022;1.00;0.00;6.00;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE LUZ NIVEL INICIAL CONSUMO JUNIO 2022;1.00;0.00;6.00;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE LUZ NIVEL INICIAL CORRESPONDIENTE AL MES DE JULIO 2022;1.00;0.00;6.50;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE LUZ NIVEL INICIAL CONSUMO AGOSTO 2022;0.00;0.00;5.00;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE LUZ NIVEL INICIAL CONSUMO SETIEMBRE 2022;2.00;0.00;7.00;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE LUZ NIVEL INICIAL CONSUMO OCTUBRE 2022;2.00;0.00;7.50;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE LUZ NIVEL INICIAL CONSUMO NOVIEMBRE 2022;0.00;0.00;5.50;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO DICIEMBRE 2022;1.00;0.00;6.00;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO ENERO  2023;0.00;0.00;5.50;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO MARZO 2023;2.00;0.00;7.50;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO FEBRERO 2023;0.00;0.00;5.00;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE LUZ NIVEL INICIAL CONSUMO ABRIL 2023;1.00;0.00;6.00;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICOI DE ENERGIA ELECTRICA NIVEL INICIAL CONUSMO MES DE MAYO 2023;1.00;0.00;6.50;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO JUNIO 2023;1.00;0.00;6.00;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO JULIO 2023;0.00;0.00;5.50;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE LUZ NIVEL INICIAL CONSUMO AGOSTO 2023;1.00;0.00;6.00;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE LUZ NIVEL INICIAL CONSUMO SETIEMBRE 2023;0.00;0.00;5.00;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CORRESPONDIENTE AL MES DE OCTUBRE 2023;1.00;0.00;6.00;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO ENERGIA ELECTRICA NIVEL INICIAL CONSUMO NOVIEMBRE 2023;2.00;0.00;7.50;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO DICIEMBRE 2023;2.00;0.00;7.50;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO ENERO 2024;0.00;0.00;6.00;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO FEBRERO 2024.;0.00;0.00;5.50;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO MARZO 2024;3.00;0.00;8.50;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO ABRIL 2024;2.00;0.00;7.00;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO MAYO 2024;4.00;0.00;9.50;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE ENERGIA ELECTRICA DEL NIVEL INICIAL DE LAS II.EE DE LA JURISDICCIÓN DE LA UGEL DE MOYOBAMBA CORRESPONDIENTE AL MES DE JUNIO 2024;2.00;0.00;7.50;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE ENERGIA ELECTRICA DEL NIVEL INICIAL DE LAS II.EE JURISDICCION DE LA UGEL MOYOBAMBA CONSUMO JULIO 2024;1.00;0.00;6.50;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE ENERGIA ELECTRICA DE LAS II.EE DEL NIVEL INICIAL DE LA UGEL DE MOYOBAMBA CONSUMO AGOSTO 2024;3.00;0.00;8.00;1;PAGO;20250525;Encontrado;No determinada
0789834;292;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.88458;-77.08239;LUZ;SERVICIO DE ENERGIA ELECTRICA II.EE DEL NIVEL INICIAL DE LA UGEL MOYOBAMBA CONSUMO SETIEMBRE 2024;0.00;0.00;6.00;1;PAGO;20250525;Encontrado;No determinada
